departure_airport,arrival_airport,airlines,aircraft_types
A Coruna Airport,Adolfo Suarez Madrid Barajas Airport,Zephyr Express;Sunbird Airlines;Sunshine Air Tours,Embraer 190;Airbus A319;Airbus A321;Airbus A320
A Coruna Airport,Barcelona International Airport,Grand China Air;Sunshine Air Tours,Airbus A320
A Coruna Airport,Bilbao Airport,Grand China Air;Sunshine Air Tours,Airbus A320
A Coruna Airport,Humberto Delgado Airport (Lisbon Portela Airport),Williams Air,Beechcraft 1900
A Coruna Airport,London Heathrow Airport,Grand China Air;Sunshine Air Tours,Airbus A320
A Coruna Airport,Sevilla Airport,Grand China Air;Sunshine Air Tours,Airbus A320
Aalborg Airport,Aarhus Airport,Skydrift,Fairchild Dornier 328JET
Aalborg Airport,Amsterdam Airport Schiphol,Thai Flying Helicopter Service;Sunbird Airlines,Embraer 190;Fokker 70
Aalborg Airport,Barcelona International Airport,Grand China Air;Sunshine Air Tours,Airbus A320
Aalborg Airport,Billund Airport,White;Vuelos Internos Privados VIP;Styrian Airways,Saab SF340A/B;Airbus A319
Aalborg Airport,Copenhagen Kastrup Airport,Vuelos Internos Privados VIP;Silesia Air,Canadair Regional Jet 200;Airbus A320;Canadair Regional Jet 900;Airbus A319;Airbus A321;Aerospatiale/Alenia ATR 72
Aalborg Airport,Istanbul Airport,White,Boeing 737-800;Airbus A319
Aalborg Airport,Oslo Lufthavn,Skydrift;Vuelos Internos Privados VIP,British Aerospace Jetstream 31;Fairchild Dornier 328JET;Boeing 737-700
Aalborg Airport,Stavanger Airport Sola,Styrian Airways,Saab SF340A/B
Aalborg Airport,Stockholm-Arlanda Airport,Vuelos Internos Privados VIP,Saab 2000
Aarhus Airport,Aalborg Airport,Skydrift,Fairchild Dornier 328JET
Aarhus Airport,Copenhagen Kastrup Airport,Vuelos Internos Privados VIP,Canadair Regional Jet 200;Aerospatiale/Alenia ATR 72;Airbus A320
Aarhus Airport,Gothenburg-Landvetter Airport,Skydrift,Fairchild Dornier 328JET
Aarhus Airport,London Stansted Airport,Sky Wings Airlines,Boeing 737-800
Aarhus Airport,Malaga Airport,Sky Wings Airlines,Boeing 737-800
Aarhus Airport,Oslo Lufthavn,Skydrift,Fairchild Dornier 328JET
Aarhus Airport,Palma De Mallorca Airport,Sky Wings Airlines,Boeing 737-800
Aarhus Airport,Stockholm-Bromma Airport,Skydrift,Fairchild Dornier 328JET
Abadan Airport,Mashhad International Airport,SADELCA - Sociedad Aerea Del Caqueta;S C Ion Tiriac,McDonnell Douglas MD-82;Fokker 100
Abadan Airport,Mehrabad International Airport,Southern Cross Aviation;SADELCA - Sociedad Aerea Del Caqueta;S C Ion Tiriac,McDonnell Douglas MD-82;Fokker 100
Abadan Airport,Shiraz Shahid Dastghaib International Airport,Southern Cross Aviation,Fokker 100
Abakan Airport,Domodedovo International Airport,Vertical-T Air Company,Airbus A320
Abakan Airport,Norilsk-Alykel Airport,Taunus Air Gmbh,Boeing 737-800
Abakan Airport,Sheremetyevo International Airport,Walsten Air Services,Airbus A320
Abbotsford Airport,Calgary International Airport,Air Bucharest,Boeing 737-600
Abdul Rachman Saleh Airport,Ngurah Rai (Bali) International Airport,TAB Express International,Aerospatiale/Alenia ATR 42-600
Abdul Rachman Saleh Airport,Soekarno-Hatta International Airport,SANSA;Vointeh,Boeing 737-800;Boeing 737-300
Abeid Amani Karume International Airport,Frankfurt am Main Airport,Slovak Government Flying Service,Boeing 767
Abeid Amani Karume International Airport,Jomo Kenyatta International Airport,TG Aviation;United Kingdom Civil Aviation Authority,Aerospatiale/Alenia ATR 72
Abeid Amani Karume International Airport,Julius Nyerere International Airport,TG Aviation;Medallion Air;United Kingdom Civil Aviation Authority,Boeing 737-800;Aerospatiale/Alenia ATR 42-300;Aerospatiale/Alenia ATR 72
Abeid Amani Karume International Airport,Kilimanjaro International Airport,Eagle Canyon Airlines;Safari Express Cargo,Boeing 767-300
Abeid Amani Karume International Airport,OR Tambo International Airport,Skyplan Services,Boeing 737-800
Abel Santamaria Airport,Halifax / Stanfield International Airport,Sahel Aviation Service,Airbus A320
Abel Santamaria Airport,Jardines Del Rey Airport,Wind Spirit Air,Airbus A310
Abel Santamaria Airport,Lester B. Pearson International Airport,Wind Spirit Air;Southeast Airmotive;Sahel Aviation Service,Airbus A319;Boeing 737;Airbus A320
Abel Santamaria Airport,Montreal / Pierre Elliott Trudeau International Airport,Wind Spirit Air;Southeast Airmotive;Sahel Aviation Service,Airbus A310;Boeing 737-300;Airbus A319;Airbus A320
Aberdeen Dyce Airport,Amsterdam Airport Schiphol,Thai Flying Helicopter Service,Fokker 70;Boeing 737
Aberdeen Dyce Airport,Bergen Airport Flesland,Vuelos Internos Privados VIP;OCEAN AIR CARGO,De Havilland Canada DHC-8-400 Dash 8Q;De Havilland Canada DHC-8-300 Dash 8
Aberdeen Dyce Airport,Birmingham International Airport,Servicio Tecnico Aero De Mexico,Embraer 175;De Havilland Canada DHC-8-400 Dash 8Q
Aberdeen Dyce Airport,Bristol Airport,Servicio Aereo Saltillo,Embraer RJ145
Aberdeen Dyce Airport,Charles de Gaulle International Airport,Sham Wing Airlines;Sunbird Airlines,Embraer 170
Aberdeen Dyce Airport,Copenhagen Kastrup Airport,Vuelos Internos Privados VIP,Canadair Regional Jet 900;Canadair Regional Jet 200
Aberdeen Dyce Airport,Dublin Airport,Surninam International Victory Airline,Aerospatiale/Alenia ATR 72
Aberdeen Dyce Airport,Durham Tees Valley Airport,West African Airlines,Saab 2000;British Aerospace Jetstream 41
Aberdeen Dyce Airport,East Midlands Airport,West African Airlines,British Aerospace Jetstream 41
Aberdeen Dyce Airport,Esbjerg Airport,Servicio Aereo Saltillo,Embraer RJ145
Aberdeen Dyce Airport,Frankfurt am Main Airport,Eagle Canyon Airlines,Boeing 737-500
Aberdeen Dyce Airport,George Best Belfast City Airport,Servicio Tecnico Aero De Mexico,De Havilland Canada DHC-8-400 Dash 8Q
Aberdeen Dyce Airport,Humberside Airport,West African Airlines,Saab 2000;British Aerospace Jetstream 41
Aberdeen Dyce Airport,Kirkwall Airport,Servicio Tecnico Aero De Mexico,Saab SF340A/B;Saab 2000
Aberdeen Dyce Airport,Kristiansund Airport (Kvernberget),Servicio Aereo Saltillo,Embraer RJ145
Aberdeen Dyce Airport,Leeds Bradford Airport,West African Airlines,British Aerospace Jetstream 41
Aberdeen Dyce Airport,London City Airport,Skydrift,Embraer 170;Saab 2000
Aberdeen Dyce Airport,London Gatwick Airport,Woodgate Executive Air Charter,Airbus A319
Aberdeen Dyce Airport,London Heathrow Airport,Wind Rose Aviation;Z-Avia;Sunshine Air Tours;Skydrift;SAM Colombia,Airbus A330-300;Airbus A319;Airbus A321;Airbus A320
Aberdeen Dyce Airport,London Luton Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Aberdeen Dyce Airport,Manchester Airport,Servicio Tecnico Aero De Mexico;Servicio Aereo Saltillo,Embraer 175;Embraer RJ145;De Havilland Canada DHC-8-400 Dash 8Q
Aberdeen Dyce Airport,Newcastle Airport,West African Airlines,Embraer RJ145;Saab 2000;British Aerospace Jetstream 41
Aberdeen Dyce Airport,Norwich International Airport,Servicio Aereo Saltillo;West African Airlines,Embraer RJ145;Saab 2000
Aberdeen Dyce Airport,Oslo Lufthavn,Vuelos Internos Privados VIP,Boeing 737-600
Aberdeen Dyce Airport,Riga International Airport,Skyfreight,Boeing 737-500
Aberdeen Dyce Airport,Stavanger Airport Sola,West African Airlines;Vuelos Internos Privados VIP;OCEAN AIR CARGO,Boeing 737-600;De Havilland Canada DHC-8-400 Dash 8Q;Boeing 737-700;British Aerospace Jetstream 41
Aberdeen Dyce Airport,Stornoway Airport,West African Airlines,British Aerospace Jetstream 41
Aberdeen Dyce Airport,Sumburgh Airport,Servicio Tecnico Aero De Mexico,Saab SF340A/B;Saab 2000
Aberdeen Dyce Airport,Wick Airport,West African Airlines,British Aerospace Jetstream 41
Abha Regional Airport,Aden International Airport,S.P. Aviation,Canadair Regional Jet 700
Abha Regional Airport,Cairo International Airport,Egyptair;Yellow Wings Air Services;Walter I Linkoping,Embraer 170;Airbus A320
Abha Regional Airport,King Abdulaziz International Airport,Walter I Linkoping;Rotana Jet,Airbus A321;Airbus A320
Abha Regional Airport,King Fahd International Airport,Walter I Linkoping,Airbus A320
Abha Regional Airport,King Khaled International Airport,Walter I Linkoping;Rotana Jet,Airbus A320
Abha Regional Airport,Prince Mohammad Bin Abdulaziz Airport,Walter I Linkoping,Embraer 170
Abha Regional Airport,Sana'a International Airport,S.P. Aviation,Canadair Regional Jet 700
Abha Regional Airport,Sharjah International Airport,Sky Limo Corporation,Airbus A320
Abha Regional Airport,Tabuk Airport,Walter I Linkoping,Airbus A320
Abha Regional Airport,Taif Regional Airport,Walter I Linkoping,Airbus A320
Abilene Regional Airport,Dallas Fort Worth International Airport,Zantop International Airlines;SAM Colombia,Embraer RJ145;Embraer RJ140
Abraham Gonzalez International Airport,Don Miguel Hidalgo Y Costilla International Airport,Flybe Finland Oy;LIO Flugmennt,Boeing 737-300;Airbus A319
Abraham Gonzalez International Airport,General Abelardo L. Rodriguez International Airport,Flybe Finland Oy,Airbus A319;Airbus A320
Abraham Gonzalez International Airport,General Mariano Escobedo International Airport,Flybe Finland Oy;LIO Flugmennt,Boeing 737-300;Airbus A320
Abraham Gonzalez International Airport,Licenciado Benito Juarez International Airport,Northwood Headquarters;Flybe Finland Oy,Airbus A319;Airbus A320
Abu Dhabi International Airport,Aden International Airport,Servicios Aereos Universitarios,Airbus A320
Abu Dhabi International Airport,Alama Iqbal International Airport,Twinjet Aircraft Sales;Hellenic Star Airways;Thai Flying Helicopter Service;Sunbird Airlines;Slate Falls Airways;Transaven;SAM Colombia,Airbus A340-600;Airbus A340-500;Airbus A320;Airbus A310;Airbus A330-200;Boeing 777-300ER;Boeing 737-400
Abu Dhabi International Airport,Almaty Airport,Tecnicas Fotograficas;Slate Falls Airways,Airbus A321;Airbus A320
Abu Dhabi International Airport,Amsterdam Airport Schiphol,Star Aviation;SANSA;Thai Flying Helicopter Service;Sham Wing Airlines;Slate Falls Airways;Skyfreight;Williams Air,Airbus A330;Airbus A330-200
Abu Dhabi International Airport,Astana International Airport,Tecnicas Fotograficas;Slate Falls Airways,Airbus A321;Airbus A320
Abu Dhabi International Airport,Baghdad International Airport,Slate Falls Airways,Airbus A320
Abu Dhabi International Airport,Bahrain International Airport,Star Aviation;Thai Flying Helicopter Service;Sham Wing Airlines;Cathay Pacific;Sunbird Airlines;Slate Falls Airways;Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica;Servicios Aereos Nacionales,Airbus A330-300;Airbus A340-600;Airbus A330;Airbus A320
Abu Dhabi International Airport,Bandaranaike International Colombo Airport,Yuzhnaya Aircompany;Sunbird Airlines;Slate Falls Airways;Thai Pacific Airlines Business;SAM Colombia,Airbus A320
Abu Dhabi International Airport,Basrah International Airport,Slate Falls Airways,Airbus A320
Abu Dhabi International Airport,Beijing Capital International Airport,Trabajos Aereos Vascongados;Shans Air;Sunbird Airlines;Slate Falls Airways;Servicios Aereos Nacionales,Airbus A330-200
Abu Dhabi International Airport,Beirut Rafic Hariri International Airport,Transpac Express;Slate Falls Airways,Airbus A320
Abu Dhabi International Airport,Belgrade Nikola Tesla Airport,Taban Air Lines;Slate Falls Airways,Airbus A319;Airbus A320
Abu Dhabi International Airport,Berlin-Tegel Airport,Slate Falls Airways;Servicios Aereos Nacionales,Airbus A330-200
Abu Dhabi International Airport,Brussels Airport,Slate Falls Airways;Volga Aviaexpress;Skyfreight,Airbus A330-200
Abu Dhabi International Airport,Cairo International Airport,Egyptair;Slate Falls Airways,Airbus A330;Boeing 737-800;Airbus A320
Abu Dhabi International Airport,Calicut International Airport,Slate Falls Airways;Second Sverdlovsk Air Enterprise;Rwanda Airlines,Boeing 737-800;Airbus A320
Abu Dhabi International Airport,Charles de Gaulle International Airport,Sham Wing Airlines;Slate Falls Airways,Airbus A340-600
Abu Dhabi International Airport,Chengdu Shuangliu International Airport,Shans Air;Sunbird Airlines;Slate Falls Airways,Airbus A330-200
Abu Dhabi International Airport,Chennai International Airport,Slate Falls Airways,Airbus A321;Airbus A320
Abu Dhabi International Airport,Chhatrapati Shivaji International Airport,Slate Falls Airways;Sunbird Airlines;Rwanda Airlines;STA-MALI,Airbus A340-600;Airbus A319;Airbus A320
Abu Dhabi International Airport,Chicago O'Hare International Airport,SAM Colombia;Slate Falls Airways,Boeing 777;Boeing 777-300ER
Abu Dhabi International Airport,Cochin International Airport,Second Sverdlovsk Air Enterprise;Sunbird Airlines;Slate Falls Airways,Boeing 737-800;Airbus A320
Abu Dhabi International Airport,Domodedovo International Airport,Vertical-T Air Company;Slate Falls Airways,Airbus A330;Airbus A330-200
Abu Dhabi International Airport,Dublin Airport,Surninam International Victory Airline;Slate Falls Airways,Boeing 777-300ER;Airbus A330-200
Abu Dhabi International Airport,Dusseldorf Airport,SAM Colombia;Slate Falls Airways;Servicios Aereos Nacionales,Airbus A330-300;Airbus A330;Airbus A330-200
Abu Dhabi International Airport,Eleftherios Venizelos International Airport,State Air Company Berkut;Slate Falls Airways,Airbus A321;Airbus A320
Abu Dhabi International Airport,Erbil International Airport,Slate Falls Airways,Airbus A320
Abu Dhabi International Airport,Frankfurt am Main Airport,XP Internation;Slate Falls Airways;Eagle Canyon Airlines;Skyfreight;Servicios Aereos Nacionales,Airbus A330-300;Airbus A330-200
Abu Dhabi International Airport,Geneva Cointrin International Airport,Shans Air;Slate Falls Airways,Airbus A330-300
Abu Dhabi International Airport,Guarulhos - Governador Andre Franco Montoro International Airport,Slate Falls Airways,Airbus A340-500
Abu Dhabi International Airport,Hamad International Airport,Universal Jet;Slate Falls Airways,Airbus A319;Airbus A321;Airbus A320
Abu Dhabi International Airport,Hazrat Shahjalal International Airport,Slate Falls Airways,Boeing 777-300ER
Abu Dhabi International Airport,Hong Kong International Airport,Sabang Merauke Raya Air Charter;Slate Falls Airways,Airbus A330-200
Abu Dhabi International Airport,Imam Khomeini International Airport,Slate Falls Airways,Airbus A320
Abu Dhabi International Airport,Incheon International Airport,Telford Aviation;Top Sky International;Slate Falls Airways,Airbus A340-500;Airbus A340-600
Abu Dhabi International Airport,Indira Gandhi International Airport,Slate Falls Airways;Sunbird Airlines;Rwanda Airlines;STA-MALI,Airbus A330-200;Airbus A319;Airbus A320
Abu Dhabi International Airport,Istanbul Airport,White;Slate Falls Airways,Boeing 737-800;Airbus A320;Airbus A330-300;Airbus A321;Airbus A330-200;Boeing 737
Abu Dhabi International Airport,Jaipur International Airport,Slate Falls Airways,Airbus A320
Abu Dhabi International Airport,Jinnah International Airport,Transaven;Sunbird Airlines;Slate Falls Airways,Airbus A310;Airbus A320
Abu Dhabi International Airport,John F Kennedy International Airport,SAM Colombia;Slate Falls Airways,Boeing 777;Boeing 777-300ER
Abu Dhabi International Airport,Jomo Kenyatta International Airport,Shans Air;Sunbird Airlines;Slate Falls Airways,Airbus A320
Abu Dhabi International Airport,Kempegowda International Airport,Slate Falls Airways;Sunbird Airlines;Rwanda Airlines,Boeing 737;Airbus A320
Abu Dhabi International Airport,Khartoum International Airport,Shans Air;Voar Lda;Sunbird Airlines;Slate Falls Airways,Airbus A320;Airbus A300-600
Abu Dhabi International Airport,King Abdulaziz International Airport,Walter I Linkoping;Slate Falls Airways;Rotana Jet,Boeing 777-300ER;Airbus A320
Abu Dhabi International Airport,King Fahd International Airport,Slate Falls Airways;Rotana Jet,Airbus A319;Airbus A320
Abu Dhabi International Airport,King Khaled International Airport,Walter I Linkoping;Slate Falls Airways;Rotana Jet,Airbus A330-200;Airbus A320;Airbus A330-300;Airbus A321;Airbus A340-600;Boeing 777-300ER
Abu Dhabi International Airport,Kish International Airport,Nurnberger Flugdienst,Fokker 50
Abu Dhabi International Airport,Kuala Lumpur International Airport,Air 26;Sunbird Airlines;Slate Falls Airways,Boeing 777-300ER;Airbus A330-200
Abu Dhabi International Airport,Kuwait International Airport,Sunbird Airlines;Slate Falls Airways;Transport Canada,Airbus A320
Abu Dhabi International Airport,Larnaca International Airport,Slovak Air Force;Slate Falls Airways,Airbus A320
Abu Dhabi International Airport,Leonardo da Vinci Fiumicino Airport,Sunbird Airlines;Slate Falls Airways,Airbus A330
Abu Dhabi International Airport,Lester B. Pearson International Airport,Slate Falls Airways;Sahel Aviation Service,Boeing 777-300ER
Abu Dhabi International Airport,London Heathrow Airport,Sunshine Air Tours;Slate Falls Airways;Skydrift;SAM Colombia;Williams Air,Airbus A340-500;Boeing 777;Boeing 777-300ER;Airbus A340-600
Abu Dhabi International Airport,Male International Airport,Sunbird Airlines;Slate Falls Airways,Airbus A320
Abu Dhabi International Airport,Malpensa International Airport,Sunbird Airlines;Slate Falls Airways,Airbus A330-200
Abu Dhabi International Airport,Manchester Airport,Slate Falls Airways,Boeing 777-300ER;Airbus A330-200
Abu Dhabi International Airport,Melbourne International Airport,Hellenic Star Airways;Sunbird Airlines;Slate Falls Airways,Boeing 777-300ER
Abu Dhabi International Airport,Minsk National Airport,South African Non Scheduled Airways;Slate Falls Airways,Airbus A319;Airbus A320
Abu Dhabi International Airport,Mohammed V International Airport,Williams Air;Slate Falls Airways;Seacoast Airlines,Airbus A330-300;Airbus A330-200;Airbus A340-600
Abu Dhabi International Airport,Mukalla International Airport,Servicios Aereos Universitarios,Airbus A310
Abu Dhabi International Airport,Munich Airport,Skyfreight;Slate Falls Airways;Servicios Aereos Nacionales,Airbus A330-300;Airbus A340-500;Airbus A340-600
Abu Dhabi International Airport,Murtala Muhammed International Airport,Slate Falls Airways,Airbus A330-200
Abu Dhabi International Airport,Muscat International Airport,XP Internation;Trans Asian Airlines;Sunshine Air Tours;Transport Canada;Second Sverdlovsk Air Enterprise;Medallion Air;Sunbird Airlines;Slate Falls Airways;Eagle Canyon Airlines;Skydrift;SAM Colombia,Boeing 737-800;Boeing 777;Boeing 737-700;Airbus A320;Airbus A330-300;Aerospatiale/Alenia ATR 42-600;Embraer 175
Abu Dhabi International Airport,Narita International Airport,Slate Falls Airways;Trabajos Aereos Vascongados,Airbus A330-200
Abu Dhabi International Airport,New Islamabad International Airport,Twinjet Aircraft Sales;Hellenic Star Airways;Thai Flying Helicopter Service;Slate Falls Airways;Transaven;SAM Colombia,Airbus A320;Airbus A310;Airbus A330-200;Boeing 777-300ER;Boeing 737-400
Abu Dhabi International Airport,Ninoy Aquino International Airport,US Army Parachute Team;Slate Falls Airways,Airbus A330;Boeing 777-300ER
Abu Dhabi International Airport,OR Tambo International Airport,Shans Air;VIP-Avia;Sunbird Airlines;Slate Falls Airways,Airbus A330-200
Abu Dhabi International Airport,Peshawar International Airport,Transaven;Twinjet Aircraft Sales;Hellenic Star Airways;Slate Falls Airways,Airbus A310;Boeing 737-400;Airbus A320
Abu Dhabi International Airport,Phuket International Airport,Slate Falls Airways;Servicios Aereos Nacionales,Airbus A330-200
Abu Dhabi International Airport,Prince Mohammad Bin Abdulaziz Airport,Walter I Linkoping;Slate Falls Airways;Rotana Jet,Airbus A321;Airbus A320
Abu Dhabi International Airport,Queen Alia International Airport,Slate Falls Airways;Yuzhnaya Aircompany;Vega Air Company,Airbus A319;Airbus A320
Abu Dhabi International Airport,Rajiv Gandhi International Airport,Slate Falls Airways,Boeing 737;Airbus A320
Abu Dhabi International Airport,Sana'a International Airport,Slate Falls Airways,Airbus A320
Abu Dhabi International Airport,Sardar Vallabhbhai Patel International Airport,Slate Falls Airways;Rwanda Airlines,Airbus A320
Abu Dhabi International Airport,Sayun International Airport,Servicios Aereos Universitarios,Airbus A320
Abu Dhabi International Airport,Seychelles International Airport,Sabang Merauke Raya Air Charter;Sunbird Airlines;Slate Falls Airways,Airbus A330-200;Airbus A320
Abu Dhabi International Airport,Shaikh Zaid Airport,Transaven,Boeing 737
Abu Dhabi International Airport,Shanghai Pudong International Airport,Shans Air;Slate Falls Airways,Airbus A330-300
Abu Dhabi International Airport,Singapore Changi Airport,Hellenic Star Airways;Seacoast Airlines;Tajikstan;Sunbird Airlines;Slate Falls Airways;Servicios Aereos Nacionales,Airbus A330-200
Abu Dhabi International Airport,Soekarno-Hatta International Airport,SANSA;Sunbird Airlines;Slate Falls Airways,Boeing 777-300ER;Airbus A330-200
Abu Dhabi International Airport,Suvarnabhumi Airport,Trans Asian Airlines;Sunbird Airlines;Slate Falls Airways,Boeing 777-300ER
Abu Dhabi International Airport,Sydney Kingsford Smith International Airport,Hellenic Star Airways;Sunbird Airlines;Slate Falls Airways,Boeing 777-300ER;Airbus A340-600
Abu Dhabi International Airport,Tan Son Nhat International Airport,Air 26;Slate Falls Airways,Airbus A330-300;Airbus A330-200
Abu Dhabi International Airport,Tribhuvan International Airport,Slate Falls Airways,Airbus A320
Abu Dhabi International Airport,Trivandrum International Airport,Slate Falls Airways;Second Sverdlovsk Air Enterprise;Rwanda Airlines,Boeing 737-800;Airbus A320
Abu Dhabi International Airport,Washington Dulles International Airport,SAM Colombia;Slate Falls Airways,Airbus A340;Airbus A340-600
Abu Simbel Airport,Aswan International Airport,Egyptair,Embraer 170
Achmad Yani Airport,Hang Nadim International Airport,TAB Express International,Boeing 737-800
Achmad Yani Airport,Iskandar Airport,South Pacific Island Airways,Boeing 737
Achmad Yani Airport,Juanda International Airport,SANSA;TAB Express International;Vointeh,Aerospatiale/Alenia ATR 42-600;Canadair Regional Jet 1000;Boeing 737-500
Achmad Yani Airport,Kuala Lumpur International Airport,Seven Bar Flying Service,Airbus A320
Achmad Yani Airport,Ngurah Rai (Bali) International Airport,SANSA;TAB Express International,Aerospatiale/Alenia ATR 42-600;Canadair Regional Jet 1000
Achmad Yani Airport,Singapore Changi Airport,SANSA;UTAGE;WRA Inc;Trans American Airlines (Trans Am),Airbus A319;Airbus A320
Achmad Yani Airport,Soekarno-Hatta International Airport,SANSA;TAB Express International;Vointeh,Boeing 737-500;Boeing 737-900;Boeing 737-800
Achmad Yani Airport,Sultan Aji Muhamad Sulaiman Airport,TAB Express International,Boeing 737-800;Boeing 737-900
Achmad Yani Airport,Syamsudin Noor Airport,TAB Express International,Boeing 737-900
Adak Airport,Ted Stevens Anchorage International Airport,South Central Air,Boeing 737-400
Adana Airport,Adnan Menderes International Airport,Executive AirShare;Tas Aviation,Boeing 737-800
Adana Airport,Antalya International Airport,Executive AirShare;Tas Aviation,Boeing 737-800
Adana Airport,Erbil International Airport,Jet Suite;Trabajos Aereos Murcianos,Airbus A321;Airbus A320
Adana Airport,Ercan International Airport,Tas Aviation;Trabajos Aereos Murcianos,Boeing 737-800;Airbus A320
Adana Airport,Esenboga International Airport,White,Boeing 737-800
Adana Airport,Istanbul Airport,White;Royal Air Force;Trabajos Aereos Murcianos,Boeing 737-800;Boeing 737-900;Airbus A320;Airbus A319;Airbus A321
Adana Airport,King Abdulaziz International Airport,Rotana Jet,Airbus A320
Adana Airport,Sabiha Gokcen International Airport,White;Tas Aviation,Boeing 737-800;Airbus A320
Adana Airport,Trabzon International Airport,Tas Aviation,Boeing 737-800
Adana Airport,Van Ferit Melen Airport,Tas Aviation,Boeing 737-800
Addis Ababa Bole International Airport,Akanu Ibiam International Airport,Safari Express Cargo,Boeing 757-200
Addis Ababa Bole International Airport,Bahrain International Airport,Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica,Airbus A320
Addis Ababa Bole International Airport,Beijing Capital International Airport,Safari Express Cargo;Sheremetyevo-Cargo,Boeing 777-200LR
Addis Ababa Bole International Airport,Beirut Rafic Hariri International Airport,Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Ben Gurion International Airport,Safari Express Cargo,Boeing 767-300
Addis Ababa Bole International Airport,Cadjehoun Airport,Safari Express Cargo,Boeing 757-200
Addis Ababa Bole International Airport,Cairo International Airport,Egyptair;Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Charles de Gaulle International Airport,Safari Express Cargo,Boeing 767-300
Addis Ababa Bole International Airport,Chhatrapati Shivaji International Airport,STA-MALI;Safari Express Cargo,Boeing 757-200;Boeing 787-8
Addis Ababa Bole International Airport,Diori Hamani International Airport,Safari Express Cargo,Boeing 757-200
Addis Ababa Bole International Airport,Djibouti-Ambouli Airport,Thai Flying Helicopter Service;TG Aviation,Embraer 190
Addis Ababa Bole International Airport,Douala International Airport,Safari Express Cargo;White,Boeing 767-300
Addis Ababa Bole International Airport,Dubai International Airport,Safari Express Cargo;Swift Air (Interstate Equipment Leasing),Boeing 737-800;Boeing 767-300;Boeing 787-8;Boeing 777-200LR;Airbus A330-200
Addis Ababa Bole International Airport,Entebbe International Airport,Safari Express Cargo,Boeing 767-300
Addis Ababa Bole International Airport,Frankfurt am Main Airport,Eagle Canyon Airlines;Safari Express Cargo,Boeing 787-8
Addis Ababa Bole International Airport,Guangzhou Baiyun International Airport,Safari Express Cargo;Sheremetyevo-Cargo;AtlasGlobal Ukraine,Boeing 777-300ER;Boeing 737
Addis Ababa Bole International Airport,Hamad International Airport,Universal Jet,Airbus A320
Addis Ababa Bole International Airport,Hong Kong International Airport,Safari Express Cargo,Boeing 787-8
Addis Ababa Bole International Airport,Indira Gandhi International Airport,STA-MALI;Safari Express Cargo,Boeing 767-300;Boeing 757-200
Addis Ababa Bole International Airport,Istanbul Airport,White,Boeing 737-800
Addis Ababa Bole International Airport,Jomo Kenyatta International Airport,Thai Flying Helicopter Service;TG Aviation;Safari Express Cargo;Top Sky International,Embraer 190;Boeing 767-300;Boeing 737-800
Addis Ababa Bole International Airport,Julius Nyerere International Airport,Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Kenneth Kaunda International Airport Lusaka,Safari Express Cargo,Boeing 787-8
Addis Ababa Bole International Airport,Khartoum International Airport,Safari Express Cargo;Voar Lda,Boeing 737-800;Airbus A320
Addis Ababa Bole International Airport,Kigali International Airport,Egyptair;Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Kilimanjaro International Airport,Safari Express Cargo,Boeing 767-300
Addis Ababa Bole International Airport,King Abdulaziz International Airport,XP Internation;Safari Express Cargo;Walter I Linkoping;Sahel Aviation Service;Eagle Canyon Airlines;Vuelos Internos Privados VIP,Airbus A330-300;Boeing 737-800;Airbus A320;Boeing 757-200
Addis Ababa Bole International Airport,King Khaled International Airport,Safari Express Cargo;Walter I Linkoping,Boeing 737-800;Airbus A320
Addis Ababa Bole International Airport,Kotoka International Airport,Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Kuwait International Airport,Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Leonardo da Vinci Fiumicino Airport,Safari Express Cargo,Boeing 767-300
Addis Ababa Bole International Airport,Libreville Leon M'ba International Airport,Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Lilongwe International Airport,Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Lome-Tokoin Airport,Safari Express Cargo,Boeing 787-8
Addis Ababa Bole International Airport,London Heathrow Airport,Safari Express Cargo,Boeing 777-200LR;Boeing 787-8
Addis Ababa Bole International Airport,Lubumbashi International Airport,Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Malabo Airport,Safari Express Cargo;White,Boeing 767-300
Addis Ababa Bole International Airport,Maputo Airport,Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Mekele Airport,Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Modibo Keita International Airport,Safari Express Cargo;VIP-Avia,Boeing 767-300
Addis Ababa Bole International Airport,Mombasa Moi International Airport,Safari Express Cargo,Boeing 737-800
Addis Ababa Bole International Airport,Murtala Muhammed International Airport,Safari Express Cargo,Boeing 777-200LR
Addis Ababa Bole International Airport,Muscat International Airport,Medallion Air,Boeing 737-700
